page_name,categories
Hypothyroidism,"{'Endocrine diseases', 'Autoimmune diseases', 'Iodine', 'Thyroid disease', 'Metabolic disorders'}"
Seaweed,"{'Edible seaweeds', 'Edible algae', 'Seaweeds', 'Polyphyletic groups', 'Blue carbon'}"
Stipe_(botany),"{'Plant anatomy', 'Plant morphology', 'Orchid morphology', 'Plant morphology stubs'}"
