Source,Target
Hypothyroidism,Lymphocytic_hypophysitis
Hypothyroidism,M%C3%B6bius_sign
Hypothyroidism,Macroglossia
Hypothyroidism,Mass_effect_(medicine)
Hypothyroidism,Mechanical_ventilation
Hypothyroidism,Medical_Subject_Headings
Hypothyroidism,Medical_diagnosis
Hypothyroidism,Medical_sign
Hypothyroidism,Medical_specialty
Hypothyroidism,MedlinePlus
Hypothyroidism,Meningioma
Hypothyroidism,Menopause
Hypothyroidism,Menorrhagia
Hypothyroidism,Menstrual_cycle
Hypothyroidism,Metastasis
Hypothyroidism,Methimazole
Hypothyroidism,Methylthiouracil
Hypothyroidism,Miscarriage
Hypothyroidism,Mood_stabilizer
Hypothyroidism,Motor_skill
Hypothyroidism,Mucopolysaccharide
Hypothyroidism,Muscle_aches
Hypothyroidism,Muscle_weakness
Hypothyroidism,Myasthenia_gravis
Hypothyroidism,Mycosis
Hypothyroidism,Myxedema
Hypothyroidism,Myxedema_coma
Hypothyroidism,NK2_homeobox_1
Hypothyroidism,Nasogastric_intubation
Hypothyroidism,National_Institute_for_Health_and_Care_Excellence
Hypothyroidism,Negative_feedback
Hypothyroidism,Neonatal_jaundice
Hypothyroidism,Neurosarcoidosis
Hypothyroidism,Oligomenorrhea
Hypothyroidism,OxfordDictionaries.com
Hypothyroidism,PAX8
Hypothyroidism,PMC_(identifier)
Hypothyroidism,PMID_(identifier)
Hypothyroidism,Palpation
Hypothyroidism,Palpation_thyroiditis
Hypothyroidism,Paresthesia
Hypothyroidism,Patient_UK
Hypothyroidism,Pendred%27s_syndrome
Hypothyroidism,Perchlorate
Hypothyroidism,Pericardial_effusion
Hypothyroidism,Perinatal_mortality
Hypothyroidism,Pernicious_anemia
Hypothyroidism,Pertechnetate
Hypothyroidism,Pickardt_syndrome
Hypothyroidism,Pig
Hypothyroidism,Pituitary-specific_positive_transcription_factor_1
Hypothyroidism,Pituitary_adenoma
Hypothyroidism,Pituitary_apoplexy
Hypothyroidism,Pituitary_gland
Hypothyroidism,Pleural_effusion
Hypothyroidism,Posterior_fontanelle
Hypothyroidism,Postpartum_thyroiditis
Hypothyroidism,Potassium_perchlorate
Hypothyroidism,Pregnancy
Hypothyroidism,Preterm_birth
Hypothyroidism,Pretibial_myxedema
Hypothyroidism,Propylthiouracil
Hypothyroidism,Public_domain
Hypothyroidism,Radioiodine
Hypothyroidism,Rathke%27s_cleft_cyst
Hypothyroidism,Recurrent_miscarriage
Hypothyroidism,Rheumatoid_arthritis
Hypothyroidism,Riedel%27s_thyroiditis
Hypothyroidism,S2CID_(identifier)
Hypothyroidism,Salt_iodization
Hypothyroidism,Screening_(medicine)
Hypothyroidism,Seaweed
Hypothyroidism,Selenium
Hypothyroidism,Sensorineural_hearing_loss
Hypothyroidism,Septo-optic_dysplasia
Hypothyroidism,Sheehan_syndrome
Hypothyroidism,Shortness_of_breath
Hypothyroidism,Sign_of_Hertoghe
Hypothyroidism,Signs_and_symptoms
Hypothyroidism,Slow_heart_rate
Hypothyroidism,Sodium%E2%80%93hydrogen_antiporter
Hypothyroidism,Sodium-iodide_symporter
Hypothyroidism,Sodium_pertechnetate
Hypothyroidism,Speech_acquisition
Hypothyroidism,Stellwag%27s_sign
Hypothyroidism,Strabismus
Hypothyroidism,Subacute_granulomatous_thyroiditis
Hypothyroidism,Subacute_lymphocytic_thyroiditis
Hypothyroidism,Subacute_thyroiditis
Hypothyroidism,Subarachnoid_hemorrhage
Hypothyroidism,Sulfur
Hypothyroidism,Sunitinib
Hypothyroidism,Swiss_Medical_Weekly
Hypothyroidism,Syphilis
Hypothyroidism,Systemic_lupus_erythematosus
Hypothyroidism,T_cell
Hypothyroidism,Tendon_reflex
Hypothyroidism,Thioamide
Hypothyroidism,Thyroglobulin
Hypothyroidism,Thyroid
Hypothyroidism,Thyroid-stimulating_hormone
Hypothyroidism,Thyroid_cancer
Hypothyroidism,Thyroid_disease
Hypothyroidism,Thyroid_disease_in_pregnancy
Hypothyroidism,Thyroid_disease_in_women
Hypothyroidism,Thyroid_dysgenesis
Hypothyroidism,Thyroid_dyshormonogenesis
Hypothyroidism,Thyroid_function_tests
Hypothyroidism,Thyroid_gland
Hypothyroidism,Thyroid_hormone
Hypothyroidism,Thyroid_hormone_receptor
Hypothyroidism,Thyroid_hormone_resistance
Hypothyroidism,Thyroid_nodule
Hypothyroidism,Thyroid_peroxidase
Hypothyroidism,Thyroid_storm
Hypothyroidism,Thyroidectomy
Hypothyroidism,Thyroiditis
Hypothyroidism,Thyrotoxicosis_factitia
Hypothyroidism,Thyrotropin-releasing_hormone
Hypothyroidism,Thyrotropin_receptor
Hypothyroidism,Thyroxine
Hypothyroidism,Thyroxine-binding_globulin
Hypothyroidism,Tiratricol
Hypothyroidism,Tooth_eruption
Hypothyroidism,Toxic_multinodular_goiter
Hypothyroidism,Toxic_nodular_goiter
Hypothyroidism,Transcription_(genetics)
Hypothyroidism,Triiodothyronine
Hypothyroidism,Tuberculosis
Hypothyroidism,Turner_syndrome
Hypothyroidism,Tyrosine
Hypothyroidism,Tyrosine-kinase_inhibitor
Hypothyroidism,UNICEF
Hypothyroidism,Umbilical_hernia
Hypothyroidism,United_States_Preventive_Services_Task_Force
Hypothyroidism,Unnecessary_health_care
Hypothyroidism,Van_Wyk_and_Grumbach_syndrome
Hypothyroidism,Vasopressin
Hypothyroidism,Vasopressin_receptor_antagonist
Hypothyroidism,Von_Graefe%27s_sign
Hypothyroidism,WHO_Model_List_of_Essential_Medicines
Hypothyroidism,Weight_gain
Hypothyroidism,Western_Canada
Hypothyroidism,White_people
Hypothyroidism,Woltman_sign
Hypothyroidism,World_Health_Organization
Hypothyroidism,Xeroderma
Seaweed,Agar
Seaweed,Agence_France-Presse
Seaweed,Algaculture
Seaweed,Algae
Seaweed,Algae_fuel
Seaweed,Alginate_dressing
Seaweed,Alginic_acid
Seaweed,Applied_and_Environmental_Microbiology
Seaweed,Aquaculture
