Source,Target
1980_in_video_games,Golden_age_of_arcade_video_games
1980_in_video_games,Government_simulation_game
1980_in_video_games,Grand_Theft_Auto_clone
1980_in_video_games,Grand_strategy_wargame
1980_in_video_games,Gunpei_Yokoi
1980_in_video_games,HAL_Laboratory
1980_in_video_games,HP_9800
1980_in_video_games,HP_Series_80
1980_in_video_games,Hack_and_slash
1980_in_video_games,Handheld_electronic_game
1980_in_video_games,Heiankyo_Alien
1980_in_video_games,Hero_shooter
1980_in_video_games,Hewlett-Packard
1980_in_video_games,Hidden_object_game
1980_in_video_games,History_of_arcade_video_games
1980_in_video_games,History_of_mobile_games
1980_in_video_games,History_of_video_game_consoles
1980_in_video_games,History_of_video_games
1980_in_video_games,Home_computer
1980_in_video_games,Home_console
1980_in_video_games,Horror_game
1980_in_video_games,Human_Engineered_Software
1980_in_video_games,Hypercasual_game
1980_in_video_games,ISBN_(identifier)
1980_in_video_games,ISSN_(identifier)
1980_in_video_games,Immersive_sim
1980_in_video_games,Incremental_game
1980_in_video_games,Indie_game
1980_in_video_games,Infocom
1980_in_video_games,Intellivision
1980_in_video_games,Interactive_fiction
1980_in_video_games,Interactive_film
1980_in_video_games,Kaizo
1980_in_video_games,Kart_racing_game
1980_in_video_games,Ken_Arnold
1980_in_video_games,Killer_app
1980_in_video_games,Licensed_game
1980_in_video_games,Life_simulation_game
1980_in_video_games,Light_gun_shooter
1980_in_video_games,Liquid-crystal_display
1980_in_video_games,List_of_American_football_video_games
1980_in_video_games,List_of_Game_of_the_Year_awards
1980_in_video_games,List_of_Namco_games
1980_in_video_games,List_of_Pac-Man_clones
1980_in_video_games,List_of_SNK_games
1980_in_video_games,List_of_best-selling_video_games
1980_in_video_games,List_of_graphic_adventure_games
1980_in_video_games,List_of_maze_chase_games
1980_in_video_games,List_of_video_game_genres
1980_in_video_games,List_of_video_games_in_development
1980_in_video_games,List_of_years_in_video_games
1980_in_video_games,Looter_shooter
1980_in_video_games,Lunar_Lander_(video_game_genre)
1980_in_video_games,Mango_Publishing
1980_in_video_games,Mascot
1980_in_video_games,Masocore
1980_in_video_games,Massively_multiplayer_online_role-playing_game
1980_in_video_games,Mattel
1980_in_video_games,Maze_game
1980_in_video_games,Maze_video_game
1980_in_video_games,McGill%E2%80%93Queen%27s_University_Press
1980_in_video_games,Metroidvania
1980_in_video_games,Midway_Games
1980_in_video_games,Mindscape_(company)
1980_in_video_games,Minigame
1980_in_video_games,Missile_Command
1980_in_video_games,Monaco_GP_(video_game)
1980_in_video_games,Monster-taming_game
1980_in_video_games,Moon_Cresta
1980_in_video_games,Multiplayer_online_battle_arena
1980_in_video_games,Multiplayer_video_game
1980_in_video_games,Music_video_game
1980_in_video_games,Mystery_House
1980_in_video_games,Namco
1980_in_video_games,Newsgame
1980_in_video_games,Nichibutsu
1980_in_video_games,Night_Driver_(video_game)
1980_in_video_games,Nintendo
1980_in_video_games,Nintendo_of_America
1980_in_video_games,Ninth_generation_of_video_game_consoles
1980_in_video_games,Non-game
1980_in_video_games,Nonlinear_gameplay
1980_in_video_games,Nonviolent_video_game
1980_in_video_games,North_Star_Computers
1980_in_video_games,North_Star_Horizon
1980_in_video_games,Olympic_Decathlon
1980_in_video_games,Open_world
1980_in_video_games,Otome_game
1980_in_video_games,Pac-Man
1980_in_video_games,Party_video_game
1980_in_video_games,Personalized_video_game
1980_in_video_games,Persuasive_video_games
1980_in_video_games,Phoenix_(1980_video_game)
1980_in_video_games,Photography_game
1980_in_video_games,Pi_Gamma_Mu
1980_in_video_games,Platform_fighter
1980_in_video_games,Platform_game
1980_in_video_games,Platformer
1980_in_video_games,Play_Meter
1980_in_video_games,Player_character
1980_in_video_games,Player_versus_player
1980_in_video_games,Pocket_Books
1980_in_video_games,Poland
1980_in_video_games,Polygon_(website)
1980_in_video_games,Power-up
1980_in_video_games,Prentice_Hall
1980_in_video_games,Prima_Publishing
1980_in_video_games,Programming_game
1980_in_video_games,Puzzle_video_game
1980_in_video_games,Racing_game
1980_in_video_games,Rail_shooter
1980_in_video_games,Rally-X
1980_in_video_games,Real-time_strategy
1980_in_video_games,Real-time_tactics
1980_in_video_games,Rhythm_game
1980_in_video_games,Rip_Off_(video_game)
1980_in_video_games,Rogue_(video_game)
1980_in_video_games,Roguelike
1980_in_video_games,Roguelike_deck-building_game
1980_in_video_games,Role-playing_video_game
1980_in_video_games,Sandbox_game
1980_in_video_games,Science_fiction_video_game
1980_in_video_games,Scrolling
1980_in_video_games,Second_generation_of_video_game_consoles
1980_in_video_games,Serious_game
1980_in_video_games,Seventh_generation_of_video_game_consoles
1980_in_video_games,Sexual_content_in_video_games
1980_in_video_games,Shoot_%27em_up
1980_in_video_games,Shooter_game
1980_in_video_games,Side-scrolling_video_game
1980_in_video_games,Sierra_Entertainment
1980_in_video_games,Sierra_On-Line
1980_in_video_games,Sim_racing
1980_in_video_games,Simulation_video_game
1980_in_video_games,Sinclair_ZX80
1980_in_video_games,Single-player_video_game
1980_in_video_games,Sir-Tech
1980_in_video_games,Sirius_Software
