page_name,categories
Armando_Iannucci,"{'Directors of Best Comedy European Film Award winners', 'Scottish television producers', 'Writers Guild of America Award winners', '20th-century Scottish screenwriters', 'Scottish radio writers', 'The Guardian journalists', 'Scottish male television actors', 'British television show creators', 'Scottish male screenwriters', '20th-century Scottish male writers', 'Alumni of the University of Glasgow', 'Scottish film directors', 'Scottish male radio actors', '21st-century Scottish screenwriters', 'British showrunners', 'Writers from Glasgow', 'Scottish male television writers', '21st-century Scottish male writers', 'Film people from Glasgow', 'Scottish people of Italian descent', 'BBC television producers', 'British satirical television show creators', 'Scottish radio producers', 'Fellows of the Royal Society of Literature', 'Scottish comedy writers', 'Scottish television writers', 'Scottish television directors', 'British satirical film directors', 'Scottish columnists', 'Scottish satirists', '1963 births', ""People educated at St Aloysius' College, Glasgow"", 'People of Campanian descent', 'BBC radio producers', 'Alumni of University College, Oxford', 'Scottish opera librettists', 'Primetime Emmy Award winners', 'Living people', 'People from Springburn', 'Comedians from Glasgow', 'Commanders of the Order of the British Empire'}"
Arnold_J._Toynbee,"{'1889 births', 'Fellows of the British Academy', 'Fellows of Balliol College, Oxford', 'Alumni of Balliol College, Oxford', 'Murray family', 'English Anglicans', 'Academics of the London School of Economics', 'International members of the American Philosophical Society', 'Theorists on Western civilization', 'Council and directors of Chatham House', 'Anti-Greek sentiment', 'Toynbee family', 'Members of the Order of the Companions of Honour', 'People educated at Winchester College', '1975 deaths', 'World historians', ""Academics of King's College London"", 'British anti-Zionists', 'Theoretical historians', '20th-century English historians'}"
Arthur_Ransome,"{'Angling writers', 'Arthur Ransome', 'Russian–English translators', '1884 births', 'French–English translators', 'The Guardian journalists', 'People educated at Rugby School', 'Carnegie Medal in Literature winners', 'Writers about the Soviet Union', 'Burials in Cumbria', '20th-century British male journalists', '20th-century English novelists', '1967 deaths', 'Writers from Leeds', 'British people of the Russian Civil War', '20th-century English journalists', 'People from Headingley', 'War correspondents of World War I', 'English war correspondents', 'Collectors of fairy tales', ""English children's writers"", 'Writers who illustrated their own writing', 'English male journalists', 'Commanders of the Order of the British Empire', ""English children's book illustrators""}"
Artificial_heart,"{'1937 in medicine', 'Implants (medicine)', 'Artificial organs', 'Cardiology', '20th-century inventions', 'Soviet inventions'}"
Artificial_intelligence,"{'Computational neuroscience', 'Formal sciences', 'Intelligence by type', 'Computational fields of study', 'Data science', 'Artificial intelligence', 'Cybernetics'}"
Artificial_neurons,"{'Bioinspiration', 'Artificial neural networks', 'American inventions'}"
Augmented_reality,"{'Applications of computer vision', 'User interface techniques', 'Augmented reality', '3D GUIs', '3D human-computer interaction'}"
Autodesk_3ds_Max,"{'Autodesk products', 'Proprietary software that uses Qt', '3D graphics software', '1990 software', 'Software that uses Qt', '3D animation software'}"
BBC,"{'British brands', 'Public corporations of the United Kingdom with a Royal Charter', 'Radio in the United Kingdom', 'Multilingual broadcasters', 'Radio broadcasting companies of the United Kingdom', 'Mass media companies established in 1922', 'YouTube channels launched in 2005', 'Peabody Award winners', 'BBC', 'Mass media companies based in London', 'Publicly funded English language broadcasters', 'Radio stations established in 1922', 'European Broadcasting Union members', 'British companies established in 1922', 'Department for Culture, Media and Sport', 'Television broadcasting companies of the United Kingdom', '1922 establishments in England'}"
BBC_Board,"{'BBC Board members', 'BBC stubs', 'United Kingdom broadcasting stubs'}"
BBC_Elstree_Centre,"{'ITV offices, studios and buildings', 'Television studios in England', 'Film production companies of the United Kingdom', 'BBC offices, studios and buildings', 'History of Hertfordshire', 'Buildings and structures in Hertfordshire', '1914 establishments in England', 'History of television in the United Kingdom', 'Borehamwood', 'British film studios'}"
BBC_News_Online,"{'Internet properties established in 1997', 'BBC News', 'BBC New Media', '1997 establishments in the United Kingdom', 'British news websites'}"
BBC_One,"{'BBC television channels in the United Kingdom', 'Television channels in the United Kingdom', '1936 establishments in the United Kingdom', 'BBC One', 'Television channels and stations established in 1936', 'English-language television stations in the United Kingdom'}"
BBC_Radio_2,"{'Adult contemporary radio stations in the United Kingdom', '1967 establishments in the United Kingdom', 'Radio stations in the United Kingdom', 'BBC national radio stations', 'BBC Radio 2', 'Radio stations established in 1967'}"
BBC_Radio_3,"{'1967 establishments in the United Kingdom', 'Radio stations in the United Kingdom', 'BBC national radio stations', 'BBC Radio 3', 'Classical music in the United Kingdom', 'Classical music radio stations', 'Radio stations established in 1967'}"
BBC_Radio_6_Music,"{'Adult album alternative radio stations', 'Radio stations in the United Kingdom', 'Digital-only radio stations', 'BBC national radio stations', 'Radio stations established in 2002', 'BBC Radio 6 Music', '2002 establishments in the United Kingdom'}"
BBC_Radio_Ulster,"{'1975 establishments in Northern Ireland', 'BBC regional radio stations', 'BBC Northern Ireland', 'Mass media in Belfast', 'Podcasting companies', 'Radio stations in Northern Ireland', 'Music in Belfast', 'Radio stations established in 1975'}"
BBC_Radio_Wales,"{'BBC regional radio stations', 'Radio stations in Cardiff', '1978 establishments in Wales', 'BBC Cymru Wales', 'Radio stations in Wales', 'Radio stations established in 1978'}"
BBC_Radio_nan_G%C3%A0idheal,"{'Indigenous radio', 'BBC regional radio stations', 'BBC Scotland', '1985 establishments in Scotland', 'Radio stations established in 1985', 'Stornoway', 'Scottish Gaelic mass media', 'Radio stations in Scotland'}"
Barack_Obama,"{'African-American United States senators', 'American gun control activists', 'American people of Irish descent', '21st-century American male writers', 'American people of Welsh descent', 'American memoirists', '21st-century United States senators', 'Democratic Party United States senators from Illinois', 'LGBTQ rights activists from Illinois', '20th-century members of the Illinois General Assembly', 'American Protestants', 'American male feminists', 'Democratic Party presidents of the United States', 'African-American state legislators in Illinois', '20th-century American non-fiction writers', 'Writers from Chicago', '21st-century American educators', '20th-century Protestants', 'Politicians from Honolulu', 'Converts to Protestantism', 'Democratic Party Illinois state senators', 'American people of the War in Afghanistan (2001–2021)', 'Illinois lawyers', 'American people of Luo descent', '21st-century presidents of the United States', '21st-century African-American politicians', 'Nobel Peace Prize laureates', 'Presidents of the United States', 'African-American Christians', 'American people of English descent', 'Candidates in the 2012 United States presidential election', 'Time Person of the Year', 'Living people', 'Outstanding Narrator Primetime Emmy Award winners', 'Obama family', 'Politicians from Chicago', '20th-century American lawyers', '20th-century African-American lawyers', '21st-century African-American academics', 'American anti–Iraq War activists', ""Children's and Family Emmy Award winners"", 'People associated with the 2020 United States presidential election', '21st-century American lawyers', 'American scholars of constitutional law', 'Harvard Law School alumni', 'American people of Kenyan descent', 'American people of Swiss descent', '21st-century American academics', '20th-century African-American academics', 'University of Chicago Law School faculty', '21st-century African-American educators', '20th-century American academics', 'Activists from Hawaii', 'American Nobel laureates', '21st-century members of the Illinois General Assembly', 'People associated with the 2004 United States presidential election', 'American political writers', 'American male non-fiction writers', 'Writers from Honolulu', 'Candidates in the 2008 United States presidential election', 'American civil rights lawyers', 'American community activists', '20th-century American male writers', 'People associated with the 2024 United States presidential election', 'Members of the American Philosophical Society', 'American people of Scottish descent', '21st-century Protestants', 'American people of German descent', 'Activists from Chicago', 'Barack Obama', '21st-century American non-fiction writers', 'Democratic Party (United States) presidential nominees', 'Grammy Award winners', 'People associated with the 2016 United States presidential election', 'African-American non-fiction writers', 'American feminist writers', 'African-American candidates for President of the United States', 'Netflix people', '21st-century African-American lawyers', 'African-American feminists', 'Columbia College, Columbia University alumni', '1961 births', 'Punahou School alumni'}"
Beat_%27em_up,"{'Video game genres', ""Beat 'em ups""}"
Bee_colony_optimization,{'Nature-inspired metaheuristics'}
Beetle,"{'Insects in culture', 'Extant Pennsylvanian first appearances', 'Beetles'}"
Bernadette_Devlin,"{'Republicans imprisoned during the Northern Ireland conflict', 'Irish anti-racism activists', 'People from Cookstown', 'Irish Republican Socialist Party politicians', '1947 births', 'Female members of the Parliament of the United Kingdom for Northern Irish constituencies', 'Northern Ireland politicians convicted of crimes', ""Alumni of Queen's University Belfast"", '20th-century women politicians from Northern Ireland', 'Independent politicians in Northern Ireland', 'Members of the Parliament of the United Kingdom for Mid Ulster', 'Irish anti-capitalists', 'Irish republicans', 'Socialists from Northern Ireland', 'People deported from the United States', 'UK MPs 1966–1970', 'UK MPs 1970–1974', 'Living people', ""People educated at St Patrick's Academy, Dungannon"", 'Independent members of the House of Commons of the United Kingdom'}"
Bibcode_(identifier),"{'Computational astronomy', 'Identifiers', 'Electronic documents', 'Index (publishing)'}"
Biochemistry,"{'Molecular biology', 'Genomics', 'Biotechnology', 'Biochemistry'}"
Biological_neural_networks,"{'Neural networks', 'Computational neuroscience', 'Neuroanatomy'}"
Biology,{'Biology'}
Biomechatronics,"{'Health care robotics', 'Electromechanical engineering'}"
Biomedical_engineering,{'Biomedical engineering'}
Biomimetic_synthesis,{'Chemical synthesis'}
Biomimetics,"{'Design', 'Biotechnology', 'Sustainable transport', 'Bionics', 'Evolutionary biology', 'Biological engineering', 'Renewable energy', 'Biomimetics', 'Bioinformatics', 'Biophysics', 'Industrial ecology', 'Water conservation'}"
Biomimicry,"{'Design', 'Biotechnology', 'Sustainable transport', 'Bionics', 'Evolutionary biology', 'Biological engineering', 'Renewable energy', 'Biomimetics', 'Bioinformatics', 'Biophysics', 'Industrial ecology', 'Water conservation'}"
BionicKangaroo,"{'Robotics stubs', 'Bionics', 'Robotic animals'}"
Bionic_(disambiguation),{'Disambiguation pages'}
Bionic_Woman_(2007_TV_series),"{'Television series by Universal Television', 'Television shows filmed in Vancouver', '2000s American science fiction television series', 'NBC television dramas', 'Television shows set in San Francisco', 'Cyborgs in television', 'American television series reboots', 'The Bionic Woman', '2007 American television series endings', 'Bionic franchise', '2000s American drama television series', 'American action television series', 'American English-language television shows', 'Espionage television series', '2007 American television series debuts'}"
Bionic_architecture,"{'Architecture', 'Bionics'}"
Bionics,"{'Biotechnology', 'Bioinspiration', 'Biological engineering', '1950s neologisms', 'Bionics'}"
Biophysics,"{'Applied and interdisciplinary physics', 'Biophysics'}"
Biotechnology,{'Biotechnology'}
Blood_vessels,"{'Cardiovascular system anatomy', 'Soft tissue', 'Angiology'}"
Bloody_Disgusting,"{'Internet properties established in 2001', 'Online mass media companies of the United States', 'Cineverse', 'Horror fiction websites', '2001 establishments in the United States', 'American film websites'}"
Bloomberg_News,"{'Mass media companies based in New York City', 'Bloomberg L.P.', 'News agencies based in the United States'}"
Brian_Aldiss,"{'20th-century English non-fiction writers', '21st-century English short story writers', '21st-century British travel writers', 'English male novelists', 'English autobiographers', '21st-century English poets', 'English art historians', 'Nebula Award winners', '21st-century British autobiographers', 'English male poets', 'British male poets', 'British Army personnel of World War II', 'British male short story writers', 'English contemporary artists', 'English literary critics', 'English travel writers', 'British male non-fiction writers', 'English male short story writers', 'Art writers', '21st-century British poets', '20th-century English short story writers', '20th-century British printmakers', 'British literary historians', 'People educated at West Buckland School', 'British literary critics', '20th-century British poets', '20th-century English novelists', 'British male dramatists and playwrights', 'SFWA Grand Masters', 'British alternative history writers', 'English literary historians', 'People from Dereham', 'British weird fiction writers', '20th-century British travel writers', 'British speculative fiction critics', '20th-century English painters', 'Royal Corps of Signals soldiers', 'English science fiction writers', '20th-century English male artists', 'British science fiction writers', '20th-century English poets', '21st-century British painters', 'People educated at Framlingham College', 'Fellows of the Royal Society of Literature', '21st-century English novelists', 'British contemporary artists', 'British anthologists', 'English art critics', 'British male painters', 'Modern printmakers', '21st-century English non-fiction writers', '21st-century English male artists', 'Officers of the Order of the British Empire', '21st-century English painters', '1925 births', 'British male novelists', '20th-century British autobiographers', '20th-century English male writers', 'British speculative fiction editors', '20th-century British novelists', 'Military personnel from Norfolk', 'World Fantasy Award–winning writers', 'English male dramatists and playwrights', '21st-century British novelists', '2017 deaths', 'English male painters', 'British modern artists', 'Surrealist writers', 'Hugo Award–winning writers', '21st-century English male writers', 'Science Fiction Hall of Fame inductees', '20th-century English dramatists and playwrights', '21st-century British printmakers'}"
