page_name,categories
Brain_training,"{'Applied psychology', 'Cognitive training', 'Cognitive neuroscience', 'Neuropsychology', 'Brain training programs'}"
Esports,"{'Individual sports', 'Video game culture', 'Team sports', 'Esports'}"
Mind_games,"{'Transactional analysis', 'Mind control', 'Psychological manipulation', 'Psychological abuse', 'Harassment and bullying'}"
Mind_sport,"{'Sports by type', 'Games of mental skill'}"
