page_name,categories
Angular_momentum,"{'Moment (physics)', 'Rotation', 'Mechanical quantities', 'Angular momentum', 'Conservation laws'}"
Animals_in_sport,{'Animals in sport'}
Apartheid,"{'1994 disestablishments in South Africa', '1948 establishments in South Africa', 'Apartheid in South Africa', 'Politics and race', 'Racism in South Africa', 'Far-right politics in South Africa', 'White supremacy in Africa', 'Apartheid', 'Ethnic nationalism', '1970s in South Africa', 'Crimes against humanity', '1990s in South Africa', 'Political terminology in South Africa', 'Discrimination in South Africa', '1950s in South Africa', 'Ethnicity in politics', '1940s in South Africa', '1980s in South Africa', '20th century in South Africa', 'Apartheid in South West Africa', '1960s in South Africa', 'Racial segregation', 'Human rights abuses in South Africa'}"
Archery,"{'Archery', 'Summer Olympic sports', 'Shooting sports', 'Competition', 'Medieval archery', 'Hunting methods'}"
Area_of_a_circle,"{'Area', 'Circles'}"
Arena_football,"{'Variations of American football', 'Indoor American football', 'Arena Football League'}"
Artificial_turf,"{'Plastics applications', 'Water conservation', 'Artificial turf', 'Gardening aids'}"
Artistic_cycling,"{'Circus skills', 'Cycle sport'}"
Artistic_roller_skating,"{'Figure skating', 'Roller sports', 'Artistic roller skating', 'Inline skating'}"
Aryan_race,"{'Pseudoscience', 'Aryanism', 'Race in Nazi Germany', 'Anthropological categories of peoples', 'Nazi terminology', 'Proto-Indo-Europeans', 'Historical definitions of race'}"
Association_football,"{'Sports originating in England', 'Team sports', 'Summer Olympic sports', 'Laws of association football', 'Games and sports introduced in the 19th century', 'Turf sports', 'Association football', 'Physical education', 'Ball games', '19th century in England', 'English inventions', 'Football codes', 'Association football terminology'}"
Athlete,"{'Sports terminology', 'Sports occupations and roles'}"
Athletic_scholarship,"{'Scholarships', 'College sports'}"
Athletic_training,"{'Rehabilitation medicine', 'Physical exercise', 'Manual therapy', 'Athletic training', 'Sports medicine', 'Massage therapy'}"
Athleticism,"{'Sports terminology', 'Lifestyles', 'Athletic sports'}"
Athletics_(sport),"{'Summer Olympic sports', 'Athletic sports', 'Athletic culture based on Greek antiquity', 'Sport of athletics', 'Individual sports'}"
Aviva_Stadium,"{'Association football venues in the Republic of Ireland', 'National stadiums', 'Ireland national rugby union team', 'Aviva', '21st-century architecture in the Republic of Ireland', 'Ringsend', 'Sports venues in Dublin (city)', 'American football venues in the Republic of Ireland', 'Populous Holdings buildings', 'Ballsbridge', 'Rugby union stadiums in Ireland', 'Sports venues completed in 2010', '2010 establishments in Ireland', 'Venues of the United Rugby Championships', 'Buildings and structures in Dublin (city)', 'Association football venues in County Dublin', 'Republic of Ireland national football team home stadiums'}"
BTEC_Extended_Diploma,"{'Educational qualifications in the United Kingdom', 'Vocational education in the United Kingdom'}"
Badminton,"{'Sports originating in England', 'Summer Olympic sports', 'Sports originating in South Asia', 'Badminton', 'Racket sports'}"
Ball,"{'Balls', 'Spheres'}"
Baseball,"{'Sports originating in England', 'Team sports', 'Summer Olympic sports', 'Sports originating in the United States', 'Turf sports', 'Culture of the United States', 'Ball and bat games', 'Baseball terminology', '1846 introductions', 'Baseball'}"
Baseball5,"{'2018 introductions', 'Team sports', 'Mixed-sex team sports', 'Baseball genres', 'Baseball5'}"
Baton_twirling,"{'Cheerleading', 'Twirling', 'Circus skills', 'Individual sports'}"
Beach_handball,"{'Team sports', 'Beach sports', 'Ball games', 'Sports originating in Australia', 'Beach handball', 'Handball variants'}"
Beach_volleyball,"{'Beach sports', 'Sports originating in the United States', 'Beach volleyball', 'Games and sports introduced in 1915', 'Summer Olympic disciplines', 'Volleyball variations'}"
Bengal,"{'Geography of South Asia', 'History of Bengal', 'Regions of Asia', 'Subdivisions of British India', 'Bengal', 'Geography of Bangladesh', 'Regions of India', 'Historical Indian regions'}"
Bengali_traditional_games,"{'Indian games', 'Sport in India', 'Sport in West Bengal', 'Sport in Bangladesh', 'Traditional games', 'Bengali physical culture', 'Bangladeshi games'}"
